s,x,y,yaw,kappa,speed
0.0,20.12,170.54,-0.005692,0.0,3.0
0.5,20.62,170.54,-0.005692,0.0,3.0
1.0,21.12,170.54,-0.005692,0.0,3.0
1.5,21.62,170.53,-0.005692,0.0,3.0
2.0,22.12,170.53,-0.005692,0.0,3.0
2.5,22.62,170.53,-0.005692,0.0,3.0
3.0,23.12,170.52,-0.005692,0.0,3.0
3.5,23.62,170.52,-0.005692,0.0,3.0
4.0,24.12,170.52,-0.005692,0.0,3.0
4.973,25.09,170.51,-0.005692,0.0,3.0
5.473,25.59,170.51,-0.005692,0.0,3.0
5.973,26.09,170.51,-0.005692,0.0,3.0
6.473,26.59,170.51,-0.005692,0.0,3.0
6.973,27.09,170.5,-0.005692,0.0,3.0
7.473,27.59,170.5,-0.005692,0.0,3.0
7.973,28.09,170.5,-0.005692,0.0,3.0
8.473,28.59,170.49,-0.005692,0.0,3.0
8.973,29.09,170.49,-0.005692,0.0,3.0
9.473,29.59,170.49,-0.005692,0.0,3.0
9.973,30.09,170.49,-0.005692,0.0,3.0
10.473,30.59,170.48,-0.005692,0.0,3.0
10.973,31.09,170.48,-0.005692,0.0,3.0
11.473,31.59,170.48,-0.005692,0.0,3.0
11.973,32.09,170.47,-0.005692,0.0,3.0
12.473,32.59,170.47,-0.005692,0.0,3.0
12.973,33.09,170.47,-0.005692,0.0,3.0
13.473,33.59,170.47,-0.005692,0.0,3.0
13.973,34.09,170.46,-0.005692,0.0,3.0
14.473,34.59,170.46,-0.005692,0.0,3.0
14.973,35.09,170.46,-0.005692,0.0,3.0
15.473,35.59,170.45,-0.005692,0.0,3.0
15.973,36.09,170.45,-0.005692,0.0,3.0
16.473,36.59,170.45,-0.005692,0.0,3.0
16.973,37.09,170.45,-0.005692,0.0,3.0
17.473,37.59,170.44,-0.005692,0.0,3.0
17.973,38.09,170.44,-0.005692,0.0,3.0
18.473,38.59,170.44,-0.005692,0.0,3.0
18.973,39.09,170.43,-0.005692,0.0,3.0
19.473,39.59,170.43,-0.005692,0.0,3.0
19.973,40.09,170.43,-0.005692,0.0,3.0
20.473,40.59,170.43,-0.005692,0.0,3.0
20.973,41.09,170.42,-0.005692,0.0,3.0
21.473,41.59,170.42,-0.005692,0.0,3.0
21.973,42.09,170.42,-0.005692,0.0,3.0
22.473,42.59,170.41,-0.005692,0.0,3.0
22.973,43.09,170.41,-0.005692,0.0,3.0
23.473,43.59,170.41,-0.005692,0.0,3.0
23.973,44.09,170.41,-0.005692,0.0,3.0
24.473,44.59,170.4,-0.005692,0.0,3.0
24.973,45.09,170.4,-0.005692,0.0,3.0
25.473,45.59,170.4,-0.005692,0.0,3.0
25.973,46.09,170.39,-0.005692,0.0,3.0
26.473,46.59,170.39,-0.005692,0.0,3.0
26.973,47.09,170.39,-0.005692,0.0,3.0
27.813,47.93,170.38,-0.005692,-0.0,3.0
28.313,48.43,170.38,-0.005692,0.0,3.0
28.813,48.93,170.38,-0.005692,0.0,3.0
29.313,49.43,170.38,-0.005692,0.0,3.0
29.813,49.93,170.37,-0.005692,0.0,3.0
30.313,50.43,170.37,-0.005692,0.0,3.0
30.813,50.93,170.37,-0.005692,0.0,3.0
31.313,51.43,170.36,-0.005692,0.0,3.0
31.813,51.93,170.36,-0.005692,0.0,3.0
32.313,52.43,170.36,-0.005692,0.0,3.0
32.813,52.93,170.36,-0.005692,0.0,3.0
33.313,53.43,170.35,-0.005692,0.0,3.0
33.813,53.93,170.35,-0.005692,0.0,3.0
34.313,54.43,170.35,-0.005692,0.0,3.0
34.813,54.93,170.34,-0.005692,0.0,3.0
35.313,55.43,170.34,-0.005692,0.0,3.0
35.813,55.93,170.34,-0.005692,0.0,3.0
36.313,56.43,170.34,-0.005692,0.0,3.0
36.813,56.93,170.33,-0.005692,0.0,3.0
37.313,57.43,170.33,-0.005692,0.0,3.0
37.813,57.93,170.33,-0.005692,0.0,3.0
38.313,58.43,170.32,-0.005692,0.0,3.0
38.813,58.93,170.32,-0.005692,0.0,3.0
39.313,59.43,170.32,-0.005692,0.0,3.0
39.813,59.93,170.32,-0.005692,0.0,3.0
40.313,60.43,170.31,-0.005692,0.0,3.0
40.813,60.93,170.31,-0.005692,0.0,3.0
41.313,61.43,170.31,-0.005692,0.0,3.0
41.813,61.93,170.3,-0.005692,0.0,3.0
42.313,62.43,170.3,-0.005692,0.0,3.0
42.813,62.93,170.3,-0.005692,0.0,3.0
43.313,63.43,170.3,-0.005692,0.0,3.0
43.813,63.93,170.29,-0.005692,0.0,3.0
44.313,64.43,170.29,-0.005692,0.0,3.0
44.813,64.93,170.29,-0.005692,0.0,3.0
45.313,65.43,170.28,-0.005692,0.0,3.0
45.813,65.93,170.28,-0.005692,0.0,3.0
46.313,66.43,170.28,-0.005692,0.0,3.0
46.813,66.93,170.28,-0.005692,0.0,3.0
47.313,67.43,170.27,-0.005692,0.0,3.0
47.813,67.93,170.27,-0.005692,0.0,3.0
48.313,68.43,170.27,-0.005692,0.0,3.0
48.813,68.93,170.26,-0.005692,0.0,3.0
49.313,69.43,170.26,-0.005692,0.0,3.0
49.813,69.93,170.26,-0.005692,0.0,3.0
50.313,70.43,170.26,-0.005692,0.0,3.0
50.813,70.93,170.25,-0.005692,0.0,3.0
51.313,71.43,170.25,-0.005692,0.0,3.0
51.813,71.93,170.25,-0.005692,0.0,3.0
